2026-06-25,28.0
2026-06-26,27.4
2026-06-29,26.2
2026-06-30,24.3
2026-07-01,24.3
2026-07-02,25.9
2026-07-03,25.3
2026-07-06,23.8
2026-07-09,23.8
2026-07-10,22.4
2026-07-11,22.4
2026-07-12,22.5
2026-07-13,24.6
2026-07-14,23.4
2026-07-15,23.0
2026-07-16,25.2
2026-07-17,26.2
2026-07-18,26.5
2026-07-19,25.9
2026-07-20,25.4
2026-07-21,24.0
2026-07-22,24.1
2026-07-23,27.1
2026-07-24,26.2
2026-07-25,26.0
2026-07-27,26.0
2026-07-30,25.1
2026-07-31,22.4
2026-08-01,23.2
2026-08-02,23.2
2026-08-03,21.6
2026-08-04,23.1
2026-08-05,21.7
2026-08-06,21.4
2026-08-07,20.3
2026-08-08,20.3
2026-08-09,20.2
2026-08-10,20.2
2026-08-11,19.6
2026-08-12,18.5
2026-08-13,18.8
2026-08-14,18.1
2026-08-15,18.1
2026-08-16,18.7
2026-08-17,18.8
2026-08-18,19.6
2026-08-19,19.3
2026-08-20,20.1
